"","year","state","income","lfpr"
"633",1979,20,0,0.44
"634",1980,20,0,0.45
"635",1981,20,0,0.43
"636",1982,20,0,0.41
"637",1983,20,0,0.41
"638",1984,20,0,0.42
"639",1985,20,0,0.43
"640",1986,20,0,0.41
"641",1987,20,0,0.41
"642",1988,20,0,0.39
"643",1989,20,0,0.36
"644",1990,20,0,0.39
"645",1991,20,0,0.4
"646",1992,20,0,0.39
"647",1993,20,0,0.35
"648",1994,20,0,0.38
"649",1995,20,0,0.42
"650",1996,20,0,0.33
"651",1997,20,0,0.35
"652",1998,20,0,0.35
"653",1999,20,0,0.33
"654",2000,20,0,0.34
"655",2001,20,0,0.31
"656",2002,20,0,0.32
"657",2003,20,0,0.31
"658",2004,20,0,0.37
"659",2005,20,0,0.35
"660",2006,20,0,0.34
"661",2007,20,0,0.3
"662",2008,20,0,0.32
"663",2009,20,0,0.34
"664",2010,20,0,0.31
"665",2011,20,0,0.29
"666",2012,20,0,0.27
"667",2013,20,0,0.28
"668",2014,20,0,0.27
"669",2015,20,0,0.29
"670",1977,21,0,0.4
"671",1978,21,0,0.37
"672",1979,21,0,0.32
"673",1980,21,0,0.35
"674",1981,21,0,0.36
"675",1982,21,0,0.33
"676",1983,21,0,0.32
"677",1984,21,0,0.35
"678",1985,21,0,0.35
"679",1986,21,0,0.33
"680",1987,21,0,0.32
"681",1988,21,0,0.3
"682",1989,21,0,0.32
"683",1990,21,0,0.35
"684",1991,21,0,0.32
"685",1992,21,0,0.3
"686",1993,21,0,0.3
"687",1994,21,0,0.29
"688",1995,21,0,0.3
"689",1996,21,0,0.23
"690",1997,21,0,0.25
"691",1998,21,0,0.25
"692",1999,21,0,0.25
"693",2000,21,0,0.28
"694",2001,21,0,0.26
"695",2002,21,0,0.25
"696",2003,21,0,0.27
"697",2004,21,0,0.26
"698",2005,21,0,0.25
"699",2006,21,0,0.23
"700",2007,21,0,0.24
"701",2008,21,0,0.21
"702",2009,21,0,0.24
"703",2010,21,0,0.25
"704",2011,21,0,0.25
"705",2012,21,0,0.24
"706",2013,21,0,0.23
"707",2014,21,0,0.21
"708",2015,21,0,0.18
"709",1977,22,0,0.35
"710",1978,22,0,0.34
"711",1979,22,0,0.31
"712",1980,22,0,0.33
"713",1981,22,0,0.33
"714",1982,22,0,0.3
"715",1983,22,0,0.32
"716",1984,22,0,0.32
"717",1985,22,0,0.33
"718",1986,22,0,0.33
"719",1987,22,0,0.34
"720",1988,22,0,0.29
"721",1989,22,0,0.31
"722",1990,22,0,0.27
"723",1991,22,0,0.29
"724",1992,22,0,0.3
"725",1993,22,0,0.25
"726",1994,22,0,0.28
"727",1995,22,0,0.29
"728",1996,22,0,0.24
"729",1997,22,0,0.28
"730",1998,22,0,0.25
"731",1999,22,0,0.23
"732",2000,22,0,0.24
"733",2001,22,0,0.22
"734",2002,22,0,0.25
"735",2003,22,0,0.24
"736",2004,22,0,0.21
"737",2005,22,0,0.2
"738",2006,22,0,0.24
"739",2007,22,0,0.23
"740",2008,22,0,0.18
"741",2009,22,0,0.21
"742",2010,22,0,0.2
"743",2011,22,0,0.18
"744",2012,22,0,0.21
"745",2013,22,0,0.2
"746",2014,22,0,0.19
"747",2015,22,0,0.22
"748",1977,23,0,0.4
"749",1978,23,0,0.38
"750",1979,23,0,0.35
"751",1980,23,0,0.35
"752",1981,23,0,0.34
"753",1982,23,0,0.37
"754",1983,23,0,0.36
"755",1984,23,0,0.38
"756",1985,23,0,0.34
"757",1986,23,0,0.32
"758",1987,23,0,0.31
"759",1988,23,0,0.32
"760",1989,23,0,0.31
"761",1990,23,0,0.37
"762",1991,23,0,0.36
"763",1992,23,0,0.36
"764",1993,23,0,0.36
"765",1994,23,0,0.3
"766",1995,23,0,0.31
"767",1996,23,0,0.3
"768",1997,23,0,0.33
"769",1998,23,0,0.28
"770",1999,23,0,0.27
"771",2000,23,0,0.33
"772",2001,23,0,0.32
"773",2002,23,0,0.27
"774",2003,23,0,0.3
"775",2004,23,0,0.28
"776",2005,23,0,0.27
"777",2006,23,0,0.3
"778",2007,23,0,0.31
"779",2008,23,0,0.3
"780",2009,23,0,0.27
"781",2010,23,0,0.27
"782",2011,23,0,0.27
"783",2012,23,0,0.3
"784",2013,23,0,0.28
"785",2014,23,0,0.26
"786",2015,23,0,0.22
"787",1977,24,0,0.37
"788",1978,24,0,0.38
"789",1979,24,0,0.39
"790",1980,24,0,0.38
"791",1981,24,0,0.37
"792",1982,24,0,0.37
"793",1983,24,0,0.34
"794",1984,24,0,0.33
"795",1985,24,0,0.32
"796",1986,24,0,0.34
"797",1987,24,0,0.34
"798",1988,24,0,0.33
"799",1989,24,0,0.33
"800",1990,24,0,0.33
"801",1991,24,0,0.29
"802",1992,24,0,0.29
"803",1993,24,0,0.32
"804",1994,24,0,0.27
"805",1995,24,0,0.27
"806",1996,24,0,0.28
"807",1997,24,0,0.29
"808",1998,24,0,0.27
"809",1999,24,0,0.26
"810",2000,24,0,0.28
"811",2001,24,0,0.28
"812",2002,24,0,0.28
"813",2003,24,0,0.26
"814",2004,24,0,0.24
"815",2005,24,0,0.26
"816",2006,24,0,0.25
"817",2007,24,0,0.23
"818",2008,24,0,0.23
"819",2009,24,0,0.26
"820",2010,24,0,0.26
"821",2011,24,0,0.25
"822",2012,24,0,0.26
"823",2013,24,0,0.23
"824",2014,24,0,0.21
"825",2015,24,0,0.23
"826",1976,25,0,0.4
"827",1977,25,0,0.38
"828",1978,25,0,0.39
"829",1979,25,0,0.39
"830",1980,25,0,0.37
"831",1981,25,0,0.36
"832",1982,25,0,0.35
"833",1983,25,0,0.35
"834",1984,25,0,0.35
"835",1985,25,0,0.34
"836",1986,25,0,0.33
"837",1987,25,0,0.33
"838",1988,25,0,0.33
"839",1989,25,0,0.31
"840",1990,25,0,0.3
"841",1991,25,0,0.3
"842",1992,25,0,0.31
"843",1993,25,0,0.3
"844",1994,25,0,0.3
"845",1995,25,0,0.3
"846",1996,25,0,0.26
"847",1997,25,0,0.27
"848",1998,25,0,0.29
"849",1999,25,0,0.27
"850",2000,25,0,0.25
"851",2001,25,0,0.29
"852",2002,25,0,0.29
"853",2003,25,0,0.28
"854",2004,25,0,0.26
"855",2005,25,0,0.25
"856",2006,25,0,0.25
"857",2007,25,0,0.28
"858",2008,25,0,0.23
"859",2009,25,0,0.22
"860",2010,25,0,0.26
"861",2011,25,0,0.27
"862",2012,25,0,0.24
"863",2013,25,0,0.22
"864",2014,25,0,0.25
"865",2015,25,0,0.23
"866",1977,26,0,0.39
"867",1978,26,0,0.36
"868",1979,26,0,0.36
"869",1980,26,0,0.34
"870",1981,26,0,0.36
"871",1982,26,0,0.36
"872",1983,26,0,0.37
"873",1984,26,0,0.38
"874",1985,26,0,0.37
"875",1986,26,0,0.34
"876",1987,26,0,0.34
"877",1988,26,0,0.31
"878",1989,26,0,0.31
"879",1990,26,0,0.31
"880",1991,26,0,0.32
"881",1992,26,0,0.31
"882",1993,26,0,0.28
"883",1994,26,0,0.29
"884",1995,26,0,0.3
"885",1996,26,0,0.28
"886",1997,26,0,0.27
"887",1998,26,0,0.28
"888",1999,26,0,0.26
"889",2000,26,0,0.28
"890",2001,26,0,0.29
"891",2002,26,0,0.26
"892",2003,26,0,0.27
"893",2004,26,0,0.27
"894",2005,26,0,0.27
"895",2006,26,0,0.28
"896",2007,26,0,0.26
"897",2008,26,0,0.24
"898",2009,26,0,0.25
"899",2010,26,0,0.27
"900",2011,26,0,0.24
"901",2012,26,0,0.22
"902",2013,26,0,0.23
"903",2014,26,0,0.21
"904",2015,26,0,0.19
"905",1977,27,0,0.44
"906",1978,27,0,0.45
"907",1979,27,0,0.44
"908",1980,27,0,0.48
"909",1981,27,0,0.46
"910",1982,27,0,0.45
"911",1983,27,0,0.46
"912",1984,27,0,0.48
"913",1985,27,0,0.43
"914",1986,27,0,0.43
"915",1987,27,0,0.44
"916",1988,27,0,0.43
"917",1989,27,0,0.39
"918",1990,27,0,0.39
"919",1991,27,0,0.42
"920",1992,27,0,0.38
"921",1993,27,0,0.38
"922",1994,27,0,0.42
"923",1995,27,0,0.42
"924",1996,27,0,0.38
"925",1997,27,0,0.35
"926",1998,27,0,0.36
"927",1999,27,0,0.33
"928",2000,27,0,0.35
"929",2001,27,0,0.42
"930",2002,27,0,0.4
"931",2003,27,0,0.37
"932",2004,27,0,0.36
"933",2005,27,0,0.35
"934",2006,27,0,0.33
"935",2007,27,0,0.32
"936",2008,27,0,0.31
"937",2009,27,0,0.32
"938",2010,27,0,0.32
"939",2011,27,0,0.33
"940",2012,27,0,0.29
"941",2013,27,0,0.28
"942",2014,27,0,0.27
"943",2015,27,0,0.29
"944",1977,28,0,0.37
"945",1978,28,0,0.35
"946",1979,28,0,0.36
"947",1980,28,0,0.36
"948",1981,28,0,0.33
"949",1982,28,0,0.32
"950",1983,28,0,0.32
"951",1984,28,0,0.32
"952",1985,28,0,0.33
"953",1986,28,0,0.34
"954",1987,28,0,0.31
"955",1988,28,0,0.3
"956",1989,28,0,0.31
"957",1990,28,0,0.32
"958",1991,28,0,0.31
"959",1992,28,0,0.26
"960",1993,28,0,0.28
"961",1994,28,0,0.29
"962",1995,28,0,0.25
"963",1996,28,0,0.25
"964",1997,28,0,0.23
"965",1998,28,0,0.27
"966",1999,28,0,0.26
"967",2000,28,0,0.26
"968",2001,28,0,0.25
"969",2002,28,0,0.24
"970",2003,28,0,0.21
"971",2004,28,0,0.23
"972",2005,28,0,0.24
"973",2006,28,0,0.22
"974",2007,28,0,0.23
"975",2008,28,0,0.24
"976",2009,28,0,0.22
"977",2010,28,0,0.19
"978",2011,28,0,0.24
"979",2012,28,0,0.19
"980",2013,28,0,0.18
"981",2014,28,0,0.17
"982",2015,28,0,0.17
"983",1977,29,0,0.37
"984",1978,29,0,0.4
"985",1979,29,0,0.41
"986",1980,29,0,0.38
"987",1981,29,0,0.38
"988",1982,29,0,0.37
"989",1983,29,0,0.37
"990",1984,29,0,0.34
"991",1985,29,0,0.34
"992",1986,29,0,0.37
"993",1987,29,0,0.35
"994",1988,29,0,0.33
